議員名,政党,都道府県,選挙区,twitterユーザー名
江渡聡徳,自民,青森,1,ETO_Akinori
升田世喜男,立憲,青森,1,Xct20xKj0Pq4d0w
斎藤美緒,共産,青森,1,なし
神田潤一,自民,青森,2,Jun1CanDo
高畑紀子,立憲,青森,2,takahata_noriko
田端深雪,共産,青森,2,なし
山内崇,立憲,青森,3,yamauchi_aomori
木村次郎,自民,青森,3,なし
吉田恭子,共産,岩手,1,kyoko_yosida
階猛,立憲,岩手,1,shinatakeshi
高橋比奈子,自民,岩手,1,morioka_hinako
大林正英,立憲,岩手,2,ohba84_masahide
荒川順子,NHK,岩手,2,なし
鈴木俊一,自民,岩手,2,なし
藤原崇,自民,岩手,3,iwate_fujiwara
小沢一郎,立憲,岩手,3,ozawa_jimusho
岡本章子,立憲,宮城,1,a_okamotooffice
春藤沙弥香,維新,宮城,1,なし
土井亨,自民,宮城,1,doitooru812
大草芳江,無所属,宮城,1,YoshieOhkusa
鎌田さゆり,立憲,宮城,2,sayu4018
秋葉賢也,自民,宮城,2,akibakenya
林マリアゆき,NHK,宮城,2,botantam4
大野園子,立憲,宮城,3,SonokoOno
西村明宏,自民,宮城,3,なし
浅田晃司,無所属,宮城,3,なし
伊藤信太郎,自民,宮城,4,ShintaroIto205
舩山由美,共産,宮城,4,yumif2
早坂敦,維新,宮城,4,なし
安住淳,立憲,宮城,5,なし
森下千里,自民,宮城,5,ChiiChiiiii
小野寺五典,自民,宮城,6,itsunori510
内藤隆司,共産,宮城,6,なし
冨樫博之,自民,秋田,1,hiroyukitogash
寺田学,立憲,秋田,1,teratamanabu
金田勝年,自民,秋田,2,なし
緑川貴士,立憲,秋田,2,green_river15t
杉山彰,共産,秋田,3,sugiyamakira
御法川信英,自民,秋田,3,minorikawa_nobu
原田和広,立憲,山形,1,masahiroharadam
遠藤利明,自民,山形,1,なし
鈴木憲和,自民,山形,2,なし
加藤健一,国民,山形,2,kenbo_yamagata
梅木威,共産,山形,3,なし
阿部ひとみ,無所属,山形,3,abehitomi1212
加藤鮎子,自民,山形,3,katoayuko_and_s
金子恵美,立憲,福島,1,kaneko_emi_
亀岡偉民,自民,福島,1,kameokayositami
馬場雄基,立憲,福島,2,yuki_8ba
根本匠,自民,福島,2,t_nemoto_office
上杉謙太郎,自民,福島,3,なし
玄葉光一郎,立憲,福島,3,なし
小熊慎司,立憲,福島,4,oguma_shinji
菅家一郎,自民,福島,4,kanke_ichirou
熊谷智,共産,福島,5,h0use3
吉野正芳,自民,福島,5,なし
石崎徹,維新,新潟,1,TohruIshizaki
塚田一郎,自民,新潟,1,tsukada_ichiro
西村智奈美,立憲,新潟,1,chinami_niigata
高倉栄,国民,新潟,2,takakurasakae
細田健一,自民,新潟,2,hosoda_kenichi
平あや子,共産,新潟,2,AyakoTairaJCP
黒岩宇洋,立憲,新潟,3,kuroiwatakahir1
斎藤洋明,自民,新潟,3,saito_hiroaki_
菊田真紀子,立憲,新潟,4,kikuta_official
国定勇人,自民,新潟,4,kunisadaisato
米山隆一,無所属,新潟,5,RyuichiYoneyama
森民夫,無所属,新潟,5,TamioMori
泉田裕彦,自民,新潟,5,izumidahirohiko
梅谷守,立憲,新潟,6,umetani_m
高鳥修一,自民,新潟,6,takatorishuichi
神鳥古賛,無所属,新潟,6,なし
青山了介,共産,富山,1,aoyama_ryosuke
西尾政英,立憲,富山,1,240toyama_su
田畑裕明,自民,富山,1,Tabata_Hiroaki
吉田豊史,維新,富山,1,toyo23office
上田英俊,自民,富山,2,なし
越川康晴,立憲,富山,2,yasuharu_54
橘慶一郎,自民,富山,3,なし
坂本洋史,共産,富山,3,hi_sakamoto
小林誠,維新,石川,1,kobamako_
荒井淳志,立憲,石川,1,arai_ishikawa
小森卓郎,自民,石川,1,なし
亀田良典,共産,石川,1,kametsan
坂本浩,共産,石川,2,なし
佐々木紀,自民,石川,2,hajime24331
山本保彦,無所属,石川,2,なし
倉知昭一,無所属,石川,3,なし
西田昭二,自民,石川,3,hatibe47
近藤和也,立憲,石川,3,kondokazuya
野田富久,立憲,福井,1,noda_tomihisa
稲田朋美,自民,福井,1,dento_to_souzo
高木毅,自民,福井,2,なし
