,name
高木美智代,70
竹田光明,67
井上英孝,64
藤田文武,63
伊藤信太郎,61
井野俊郎,61
今井雅人,61
佐藤由美,60
田村勉,60
藤原崇,58
佐々木隆博,58
橋本岳,57
伊東良孝,55
佐藤茂樹,54
中野洋昌,54
津村啓介,53
高鳥修一,53
萩生田光一,52
古屋範子,51
屋良朝博,51
金田勝年,50
田野瀬太道,49
西村明宏,48
城内実,48
赤岸雅治,48
長尾秀樹,45
古屋圭司,44
武藤容治,44
山田正,42
土井亨,38
田畑裕明,38
小熊慎司,37
濱村進,37
平口洋,35
中山泰秀,35
小野寺五典,34
金子万寿夫,34
丹羽秀樹,34
小此木八郎,33
今村洋史,33
鈴木俊一,33
高橋ひなこ,31
丸山穂高,31
菅原一秀,31
渡辺孝一,31
大串正樹,30
高市早苗,30
細田健一,29
赤嶺政賢,29
田所嘉徳,28
熊田裕通,28
牧義夫,28
遠藤宣彦,28
あかま二郎,26
秋葉賢也,26
赤羽一嘉,25
後藤茂之,25
林幹雄,24
額賀福志郎,24
小里泰弘,23
河村建夫,23
子安正美,22
井上貴博,22
浜田靖一,21
関芳弘,21
水梨伸晃,21
長坂康正,20
三村和也,19
武田良太,19
あべ俊子,18
渡辺博道,16
川崎二郎,15
岸信夫,15
櫻田義孝,12
山口俊一,12
伊吹文明,12
寺田稔,10
横光克彦,9
荒井聰,7
小山徹,5
辻健太郎,5
原田義昭,5
